415 nm,445 nm,480 nm,515 nm,555 nm,560 nm,585 nm,590 nm,610 nm,630 nm,645 nm,680 nm,705 nm,730 nm,760 nm,810 nm,860 nm,900 nm,940 nm
25.719,317.488,136.521,99.168,85.783,55.866,24.364,39.419,20.65,18.075,5.7,6.496,8.681,5.656,2.513,2,1.057,3.405,2.675
35.007,317.488,152.111,158.23,193.011,130.805,63.785,68.338,28.026,21.718,5.735,6.53,8.755,7.3,3.105,2.695,1.338,4.38,3.392
62.235,682.951,291.621,472.074,523.602,467.19,206.668,200.829,70.886,51.811,10.931,10.045,10.511,6.197,2.63,2.127,1.097,5.138,3.97
29.828,384.16,170.533,142.802,147.774,151.994,66.604,61.984,25.251,23.18,5.53,6.03,7.443,5.561,2.548,2.142,1.132,3.717,3.008
25.719,317.488,136.521,142.802,157.462,93.774,42.119,54.804,22.229,16.313,4.333,5.095,5.853,4.546,2.069,1.766,0.945,3.046,2.45
29.828,348.444,136.521,142.802,157.462,237.96,119.703,64,35.958,18.951,8.045,6.722,8.356,6.387,2.947,2.546,1.313,4.54,3.655
19.691,245.862,101.826,84.499,99.488,99.474,45.335,34.051,15.876,11.871,3.335,3.471,4.369,3.726,1.778,1.558,0.833,2.453,1.971
35.007,290.48,123.21,107.979,116.76,99.383,45.95,53.204,25.167,21.442,6.267,6.434,9.225,6.407,2.759,2.228,1.123,4.291,3.271
17.443,245.862,101.826,99.168,123.527,237.96,107.634,42.593,19.081,10.821,3.921,3.862,5.119,3.648,1.705,1.523,0.824,3.243,2.653
25.719,290.48,123.21,118.019,130.901,145.56,70.289,51.673,24.835,15.782,5.326,4.889,6.648,4.45,2.113,1.851,1.037,3.647,3.008
15.559,196,78.854,63.468,71.513,56.984,27.115,25.616,12.817,9.025,3.86,4.098,5.103,3.963,1.877,1.685,0.872,2.794,2.124
19.691,266.778,101.826,84.499,85.783,109.052,52.098,33.263,14.513,11.871,4.221,3.452,5.885,3.544,1.656,1.403,0.757,3.178,2.528
19.691,290.48,78.854,59.439,68.502,315.275,169.053,33.263,66.998,10.92,10.237,9.592,10.597,7.3,3.354,2.922,1.579,7.009,5.294
29.828,348.444,136.521,118.019,130.901,156.528,74.828,53.204,27.541,18.726,5.729,6.21,7.511,6.067,2.751,2.351,1.207,3.748,2.932
25.719,317.488,136.521,129.526,138.954,186.186,90.525,48.803,27.953,15.114,5.653,5.925,7.716,5.4,2.434,2.129,1.135,4.109,3.256
25.719,290.48,123.21,129.526,157.462,202.693,99.041,54.804,30.827,14.641,4.928,6.383,6.663,5.659,2.633,2.414,1.342,4.017,3.184
29.828,348.444,136.521,129.526,147.774,137.006,70.165,60.063,24.49,18.505,5.566,5.782,7.486,5.419,2.565,2.284,1.245,4.006,3.227
35.007,384.16,170.533,158.23,179.93,195.785,95.124,73.132,41.493,21.999,7.122,7.312,8.665,6.152,2.751,2.355,1.232,4.962,3.874
53.778,970.814,199.123,164.084,154.783,168.762,80.709,43.625,23.139,12.495,5.436,5.618,7.503,8.298,6.53,6.481,5.137,12.541,12.439
84.028,1557.618,329.163,321.604,447.322,389.336,175.437,98.157,63.904,21.475,7.759,10.374,9.148,11.567,8.502,8.408,6.574,15.279,14.885
41.869,794.703,146.295,115.778,130.701,147.027,57.379,34.564,19.682,10.459,4.002,5.924,5.762,7.86,5.718,5.547,4.076,8.236,8.044
61.735,1081.679,223.239,180.902,174.735,67.829,30.4,50.884,25.221,15.668,4.661,7.054,6.24,8.2,5.774,5.217,3.847,7.325,7.3
71.598,794.703,178.715,125.627,106.442,103.386,49.324,50.884,34.977,21.74,9.588,10.559,12.79,14.119,9.984,8.74,6.204,13.579,13.439
47.266,724.099,146.295,99.261,101.434,109.778,52.626,33.817,29.868,12.495,6.509,7.879,7.83,10.105,7.493,6.963,5.094,9.311,9.51
47.266,724.099,133.298,80.401,71.572,52.64,27.661,28.622,24.891,12.266,6.096,7.549,7.443,8.784,6.359,5.855,4.39,8.145,8.391
47.266,794.703,146.295,99.261,92.422,97.949,50.399,31.715,32.34,11.72,6.351,8.965,8.771,11.01,7.966,7.437,5.557,9.202,9.155
71.598,1081.679,252.016,200.446,212.757,259.669,104.199,56.779,50.712,17.631,8.313,12.083,10.382,12.969,8.936,8.119,5.847,12.23,12.195
53.778,970.814,199.123,180.902,198.81,207.031,92.889,53.711,23.678,13.098,5.042,5.667,6.674,8.295,6.442,6.544,5.195,8.666,9.031
71.598,1369,286.738,250.384,310.641,363.467,153.535,76.922,42.163,18.437,7.345,9.312,9.346,12.207,9.07,8.91,6.794,13.418,13.551
